imdb_key,imdb_title,genre,year
tt1099212,Twilight,"Drama, Fantasy, Romance",2008
tt1659337,"The Perks of Being a Wallflower","Drama, Romance",2012
tt0327597,Coraline,"Animation, Fantasy",2009
tt1401152,Unknown,"Action, Mystery, Thriller",2011
tt1800241,"American Hustle","Crime, Drama",2013
tt1142988,"The Ugly Truth","Comedy, Romance",2009
tt1285016,"The Social Network","Biography, Drama",2010
tt1068680,"Yes Man","Comedy, Romance",2008
tt0120338,Titanic,"Drama, Romance",1997
tt1790885,"Zero Dark Thirty","Drama, History, Thriller",2012
tt0993846,"The Wolf of Wall Street","Biography, Comedy, Crime, Drama",2013
tt1853728,"Django Unchained",Western,2012
tt0120890,"Wild Things","Crime, Drama, Mystery, Thriller",1998
tt0096320,Twins,Comedy,1988
tt0119488,"L.A. Confidential","Crime, Drama, Mystery, Thriller",1997
tt0163025,"Jurassic Park III","Action, Adventure, Sci-Fi, Thriller",2001
tt0118971,"The Devil's Advocate","Drama, Mystery, Thriller",1997
tt0119567,"The Lost World: Jurassic Park","Action, Adventure, Sci-Fi",1997
tt1013753,Milk,"Biography, Drama, History",2008
tt0075314,"Taxi Driver","Crime, Drama",1976
tt1104001,"TRON: Legacy","Action, Adventure, Fantasy, Sci-Fi",2010
tt0286106,Signs,"Drama, Sci-Fi, Thriller",2002
tt1454029,"The Help",Drama,2011
tt1637725,Ted,"Comedy, Fantasy",2012
